Lambda,Epocas,W_inicial,W_final,|Error_Final|
1e-06,1000,"[0.4967, -0.1383, 0.6477, 1.523, -0.2342, -0.2341]","[0.4964, 0.1195, -0.1294, -0.0914, 0.0946, 0.141]",0.0
1.0,150,"[0.4967, -0.1383, 0.6477, 1.523, -0.2342, -0.2341]","[20.4967, 32199.7017, -34664.4623, -24372.967, 22915.2558, 34794.0959]",0.0
10.0,50,"[0.4967, -0.1383, 0.6477, 1.523, -0.2342, -0.2341]","[200.4967, 321998.2617, -346650.4523, -243743.377, 229154.6658, 347943.0659]",0.0
0.89,800,"[0.4967, -0.1383, 0.6477, 1.523, -0.2342, -0.2341]","[18.2967, 28657.7193, -30851.3002, -21691.7731, 20394.5519, 30966.7196]",0.0
3.1416,360,"[0.4967, -0.1383, 0.6477, 1.523, -0.2342, -0.2341]","[63.3287, 101158.8791, -108903.2619, -76573.3748, 71991.0692, 109309.633]",0.0
